Accession,Host,Collection_Date
WOR07742,Hominidae,2016-06
WOR07743,Hominidae,2016-09
WOR07744,Hominidae,2016-12
WOR07745,Hominidae,2017-10
WOR07746,Hominidae,2017-10
WOR07747,Hominidae,2017-10
WOR07748,Hominidae,2017-10
WOR07749,Hominidae,2017-11
WOR07750,Hominidae,2017-11
WOR07751,Hominidae,2017-10
WOR07752,Hominidae,2017-11
WOR07753,Hominidae,2017-11
WOR07754,Hominidae,2017-10
WOR07755,Hominidae,2017-08
WOR07756,Hominidae,2017-10
WOR07757,Hominidae,2017-11
WOR07758,Hominidae,2017-11
WOR07759,Hominidae,2017-11
WOR07760,Hominidae,2017-11
WOR07761,Hominidae,2017-11
WOR07762,Hominidae,2017-11
WOR07763,Hominidae,2017-11
WOR07764,Hominidae,2017-08
WOR07765,Hominidae,2017-08
WOR07766,Hominidae,2017-09
WCN85107,Hominidae,2013
QRL06782,Hominidae,2018-01-29
BCD71218,Hominidae,2016-02
QIE05248,Bovidae,2016
QIE05249,Bovidae,2016
QIE05250,Bovidae,2016
QIE05251,Bovidae,2016
QIE05252,Bovidae,2016
QIE05253,Bovidae,2016
QIE05255,Bovidae,2016
BBL56295,Hominidae,2015
BBL56302,Hominidae,2015
BBL56308,Hominidae,2015
BBL56314,Hominidae,2015
BBL56320,Hominidae,2015
BBJ01079,Equidae,2016
BBJ01139,Equidae,2017
AXN72868,Bovidae,2011-12-30
AXN73028,Bovidae,2014-11-04
AXN73047,Bovidae,2012-09-17
AXN73050,Bovidae,2014-02-20
AWQ35853,Hominidae,2017-06
AUC63136,Hominidae,2014-02-08
BAT46815,Hominidae,2007
BAT46817,Hominidae,2007
BAT46825,Hominidae,2007
AIF34669,Hominidae,2009-02-20
AHL67496,Suidae,2007-06-20
AHG06582,Suidae,2011
AFN26319,Hominidae,2010
AFJ92669,Hominidae,2010
AEJ79619,Hominidae,2010
AEE69109,Hominidae,2010-05-06
ADV52441,Hominidae,2010-05
ADT82711,Hominidae,2008-04-28
ADD09812,Hominidae,2007-09-28
ADC97042,Hominidae,2004-02
ADC97059,Hominidae,2008-04-09
ADC97070,Hominidae,2009-05
ADC97073,Hominidae,2009-06
ACZ59917,Suidae,2005
ACX31307,Hominidae,2009-01
ACV83819,Hominidae,2008-03
ACR25143,Hominidae,2007-03-21
ACM45466,Hominidae,2007-12
ACH91153,Equidae,2001
XDI39120,Hominidae,2010
WOR07718,Hominidae,2018-09
WOR07719,Hominidae,2018-07
WOR07720,Hominidae,2018-08
WOR07721,Hominidae,2018-09
WOR07722,Hominidae,2018-09
WOR07723,Hominidae,2018-09
WOR07725,Hominidae,2018-09
WOR07726,Hominidae,2018-09
WOR07736,Hominidae,2016-12
WOR07767,Hominidae,2017-09
WOR07768,Hominidae,2017-08
WOR07769,Hominidae,2017-11
WOR07770,Hominidae,2017-11
WOR07783,Hominidae,2017-11
WOR07784,Hominidae,2016-11
WOR07785,Hominidae,2017-01
WOR07786,Hominidae,2017-01
WOR07787,Hominidae,2017-02
WOR07788,Hominidae,2017-06
WOR07789,Hominidae,2017-07
WOR07790,Hominidae,2017-08
WOR07791,Hominidae,2018-02
WOR07792,Hominidae,2018-02
WCN85068,Hominidae,2010
WCN85077,Hominidae,2010
QXY10143,Hominidae,2013-09-28
QRL06671,Hominidae,2016-03-03
QRL06747,Hominidae,2017-12-16
QRL06755,Hominidae,2017-12-27
QRL06809,Hominidae,2018-02-02
QRL06856,Hominidae,2018-02-23
QRL06898,Hominidae,2018-03-22
QNL34780,Hominidae,2018-03-18
QHW04039,Hominidae,2017
BBL56319,Hominidae,2015
BBL56327,Hominidae,2016
BBL56329,Hominidae,2016
BBL56348,Hominidae,2016
AXN72819,Hominidae,2015-09-14
ASF57911,Hominidae,2005-03
BAT46816,Hominidae,2007
BAT46818,Hominidae,2007
BAT46819,Hominidae,2007
BAT46820,Hominidae,2007
BAT46821,Hominidae,2007
BAT46826,Hominidae,2007
AIF34661,Hominidae,2009-03-13
AFF19194,Hominidae,2010-04-27
ACR22890,Hominidae,2004-03-02
ABV53409,Hominidae,2001-05-13
ABV53410,Hominidae,2001-01-02
QXY09215,Hominidae,2012-07-10
QRL06787,Hominidae,2018-01-29
QRL06885,Hominidae,2018-02-28
QRL06906,Hominidae,2018-05-04
BBL56299,Hominidae,2015
BBL56345,Hominidae,2016
BBL56355,Hominidae,2015
BBJ01183,Equidae,2017
AXN73026,Bovidae,2014-10-30
AHH34766,Bovidae,2008-11
AGO66937,Hominidae,2010-07
AGO66938,Hominidae,2010-07
AHG06583,Suidae,2011
AHG06585,Suidae,2011
AEJ79622,Hominidae,2010
AEE69104,Hominidae,2010-03
AEE69105,Hominidae,2010-03
AEE69110,Hominidae,2010-05
AEE69114,Hominidae,2010-06
AEE69117,Hominidae,2010-07
AEE69118,Hominidae,2010-07
AEE69119,Hominidae,2010-07
ABV53399,Hominidae,1997-11
ABV55309,Hominidae,2002-02-19
ABV55312,Hominidae,2002-01-10
URM59554,Hominidae,2016-09-16
UPV00670,Hominidae,2018
QXY09375,Hominidae,2012-07-24
QRL06677,Hominidae,2016-03-15
QRL06730,Hominidae,2017-02-22
QRL06771,Hominidae,2018-01-18
QOY44543,Hominidae,2015-04-03
QOY44544,Hominidae,2016-06-22
QOY44545,Hominidae,2016-09-28
QNL34696,Hominidae,2018-01-30
QDM35352,Hominidae,2018-05-04
BBL56310,Hominidae,2015
BBL56333,Hominidae,2016
BBL56338,Hominidae,2016
BBJ01025,Equidae,2014
