Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
XKQ99429,Rotavirus A,GenBank,,PP755060,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99431,Rotavirus A,GenBank,,PP755061,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99433,Rotavirus A,GenBank,,PP755062,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99435,Rotavirus A,GenBank,,PP755063,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99437,Rotavirus A,GenBank,,PP755064,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99441,Rotavirus A,GenBank,,PP755066,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99443,Rotavirus A,GenBank,,PP755067,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99445,Rotavirus A,GenBank,,PP755068,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99447,Rotavirus A,GenBank,,PP755069,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99449,Rotavirus A,GenBank,,PP755070,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99451,Rotavirus A,GenBank,,PP755071,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99453,Rotavirus A,GenBank,,PP755072,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99455,Rotavirus A,GenBank,,PP755073,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99457,Rotavirus A,GenBank,,PP755074,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99459,Rotavirus A,GenBank,,PP755075,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99461,Rotavirus A,GenBank,,PP755076,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99469,Rotavirus A,GenBank,,PP755080,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99471,Rotavirus A,GenBank,,PP755081,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99477,Rotavirus A,GenBank,,PP755084,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99479,Rotavirus A,GenBank,,PP755085,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99481,Rotavirus A,GenBank,,PP755086,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKQ99483,Rotavirus A,GenBank,,PP755087,"Ma,J., Kumbhakar,R., Casto,A., Chow,E., Englund,J., Gautam,R., Jaimes,J., Tate,J., Smart,S., Mani,N., Cohen,S., Hussein,A., Reitberg,K., Bryson-Cahn,C., Fang,F.",2024-11-25,,Rotavirus A,200,non-structural protein 5,USA,,Homo sapiens,,2023
XKB62050,Rotavirus A,GenBank,,PP313840,"Manjate,F., Joao,E., Mwangi,P., Chirinda,P., Mogotsi,M., Messa,A. Jr., Garrine,M., Vubil,D., Nobela,N., Cunha,C., Nyaga,M., Mandomando,I.",2024-11-07,,Rotavirus A,200,NSP5,Mozambique,,Homo sapiens,feces,2018
